Level,Component ID,Item,Description,Dwg,Bill,ECN,Total Required,UM,ECN Eff.,Type,St
1,004-0087,0002,"BUSHING,VIBRATION INSOLATION, NON-RIBBED",,EP,,8.000000,EA,,B,A
1,004-0267,,"RETAINING RING, EXT. FOR 188SHA",,EP,,1.000000,EA,,B,A
1,005-0167,0003,"SCREW,SHLDR,#8-32,SOC HD,.500 SHLDR",,EP,,4.000000,EA,,B,A
1,005-0227,,"Stdoff,3/8"" Hex,F-F,#8-32,1.00""L,SST",5,P,50134,3.000000,EA,,B,A
1,155-012027-001,0005,"MOD,PULLEY,DRIVE Z-AXIS",3,EP,,1.000000,EA,,M,A
. 2,010-0141,,"PULLEY, METRIC, 24TH, 2.03 PITCH",,EP,,1.000000,EA,,B,A
1,155-012715-002,0006,"BRACKET,MOTOR MOUNTING,Z-AXIS",3,EP,,1.000000,EA,,B,A
1,155-013111-001,0001,"ASSY,Z-AXIS MOTOR/ENCODER",4,EP,50496,1.000000,EA,4/8/2010,M,A
. 2,001-0075,,"MOTOR,STEPPER,1.8DEG,SZ 23,7AMP/40VDC",,EP,,1.000000,EA,,B,A
. 2,003-0259,,"CONTACT,MIN FIT,PIN,18-24 AWG,TIN",,EP,,4.000000,EA,,B,A
. 2,003-0260,,"CONN,HOUSING,4CIR,MINI-FIT,PIN,PNL MNT",,EP,,1.000000,EA,,B,A
. 2,020-0035,,"ENCODER,OPT,INDEX,400CY,E2,.25""SHAFT DIA",,EP,020025,1.000000,EA,8/23/2002,B,A
. 2,020-0037,,CABLE DRIVER PC4-H10,,EP,,1.000000,EA,,B,A
. 2,021-0009,,"INDUCTOR,TUBE,FERIT,.562 OD,.25ID,1.125L",,EP,,1.000000,EA,,B,A
. 2,155-013111-10X,,"W/D, MOTOR ENCODER",4,EP,50496,1.000000,EA,4/8/2010,X,A
1,155-021379-001,,IDLER WHEEL ASSEMBLY,1,EP,50468,1.000000,EA,1/4/2010,M,A
. 2,004-0267,,"RETAINING RING, EXT. FOR 188SHA",,EP,,1.000000,EA,,B,A
. 2,004-0271,,"LAMINATED BRASS SPACER, .032 THK.",,EP,,1.000000,EA,,X,A
. 2,005-0179,,"SCREW, SHOULDER 10-32X.1890 SS",,EP,,1.000000,EA,,B,I
. 2,015-0042,,"BEARING,BALL,DBL SHLD,.1875BORE.1960WIDE",,EP,,2.000000,EA,,B,A
. 2,155-011897-003,,"SPINDLE,IDLER",3,EP,,1.000000,EA,,B,A
. 2,155-011897-004,,"WHEEL,IDLER",C,EP,50236,1.000000,EA,2/6/2007,B,A
. 2,155-021380-001,,IDLER PLATE,1,EP,50468,1.000000,EA,1/4/2010,B,A
